n_sensors,requested_n_sources,realized_n_sources,n_outputs,bitrate_bits_per_s,noise_pa,bandwidth_hz,input_power_convention,input_power_per_source,slq_s,slq_t,slq_batch,slq_probe_parallel,slq_elapsed_seconds,slq_frobenius_norm_sq,gram_side,gram_shape,gram_size_bytes,gram_save_elapsed_seconds,modal_gram_output_path,sensor_in_cone_count,sensor_in_cone_fraction,source_in_cone_count,source_in_cone_fraction,reference_pressure_out_out_pa,reference_pressure_in_out_pa,reference_pressure_in_in_pa,json_path,gram_note
1000,128000,130399,61000,311991.6552655681,0.005,1.0,fixed_input_power_per_source,1.0,8,32,4,False,151.84,62191.76960542045,G G^T,61000x61000,14884000128,38.732921794,/modal_results/us_analytical_grams/001_50khz_128000src_1000sensors_gram.npy,17,0.017,2379,0.01824400493868818,0.0058787753826796295,0.029393876913398145,0.1469693845669907,results/variants/us_free_field_analytical_50khz_128k_rbc_cone_20260602/json/001_50khz_128000src_1000sensors.json,
3000,128000,130399,183000,705967.6512809095,0.005,1.0,fixed_input_power_per_source,1.0,8,32,4,False,234.618,189423.96458302144,G^T G,130399x130399,68015596932,244.09426605599998,/modal_results/us_analytical_grams/001_50khz_128000src_3000sensors_gram.npy,53,0.017666666666666667,2379,0.01824400493868818,0.0058787753826796295,0.029393876913398145,0.1469693845669907,results/variants/us_free_field_analytical_50khz_128k_rbc_cone_20260602/json/001_50khz_128000src_3000sensors.json,
6000,128000,130399,366000,769051.9954515771,0.005,1.0,fixed_input_power_per_source,1.0,8,32,4,True,558.151,372368.726018957,G^T G,130399x130399,68015596932,268.491,/modal_results/us_analytical_grams/002_50khz_128000src_6000sensors_gram.npy,102,0.017,2379,0.01824400493868818,0.0058787753826796295,0.029393876913398145,0.1469693845669907,results/variants/us_free_field_analytical_50khz_128k_rbc_cone_20260602/json/001_50khz_128000src_6000sensors.json,Gram saved in the interrupted save+SLQ run; bitrate came from a follow-up bitrate-only run.
