modality,bandwidth_hz,frequency_spectrum_model,covariance_computation,output_units,output_amplitude,output_noise,snr,bitrate_bits_per_s,capacity_bits_per_s,n_voxels,n_sensors,noise_model_type,noise_correlation_kernel,noise_covariance_model,noise_plot_tag,source_path,note
EEG OpenMEEG,100.0,"power law beta=1.4, 1-100 Hz",Layered spherical Johnson impedance covariance,uV,5.0,0.15560013979554438,32.133647222746106,49815.60062038934,55370.57239396578,14355,2048,spatial_covariance,spherical_johnson,spherical_johnson,correlated_noise_spherical_johnson,results/variants/eeg_openmeeg_spherical_johnson_covariance_20260602_margin5mm/5cb4be3d.npz,"EEG bitrate/capacity use the empirically anchored lead-field calibration from guti/modalities/eeg/calibration.py with the default EEG output power-law spectrum beta=1.4; output amplitude reports the typical EEG signal amplitude from guti/noise_models.py, and bitrate/capacity use the displayed output SNR; the saved Johnson covariance row supplies the detector-noise scale."
MEG OPM,100.0,"power law beta=1.7, 1-100 Hz",EEG spherical Johnson correlation + OPM scalar diagonal,fT,100.0,50.0,2.0,10277.443862655717,60934.07049312402,8937,3000,spatial_covariance,spherical_johnson,spherical_johnson,correlated_noise_spherical_johnson,results/variants/meg_opm/dc4879b0.npz,MEG uses the upstream EEG spherical Johnson covariance correlation with the MEG OPM scalar detector-noise diagonal.
MEG SQUID,100.0,"power law beta=1.7, 1-100 Hz",EEG spherical Johnson correlation + SQUID scalar diagonal,fT,100.0,10.000000000000002,9.999999999999998,16981.64896801671,62968.557967455155,8937,3000,spatial_covariance,spherical_johnson,spherical_johnson,correlated_noise_spherical_johnson,results/variants/meg_squid/26c99397.npz,MEG uses the upstream EEG spherical Johnson covariance correlation with the MEG SQUID scalar detector-noise diagonal.
fNIRS CW,10.0,none; scalar 10 Hz band,Scalar IID diagonal from photon shot noise,1e-3 rel.,1.0,0.061882061646951515,16.159771885189976,49341.17581611704,61281.02510733825,5242,800,scalar_iid,,,,results/variants/cw_fnirs/4540c79e.npz,No saved spatial-covariance fNIRS sweep; scalar detector noise row.
US 2 MHz RBC,1.0,none; 1 Hz brain-state band,Scalar IID diagonal from receiver pressure noise,mPa,0.5290897844411666,5.216749505631201,0.10142135133573936,64334967.70796723,218860588.9392026,45177,6000,scalar_iid,,,,results/variants/us_free_field_analytical_50khz_convergence_20260531/002_50khz_44000src_6000sensors__5e7ae3d4.npz,"Uses the previous 50 kHz US SVD spectrum, 2 MHz RBC backscatter output/noise, 1 Hz bitrate bandwidth, and lambda^3 spatial scaling (64000x). Noise bandwidth is 389.61 Hz; skull transmission is 0.03; absolute pressures are signal=0.00052909 Pa and noise=0.00521675 Pa; pressure ratios are signal=5.2909e-10 and noise=5.21675e-09 relative to 1e+06 Pa."
