modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_covariance_model,noise_correlation_length_mm,noise_correlation_kernel,johnson_electrode_area_cm2,johnson_lmax,johnson_bandwidth_hz,johnson_noise_diagonal,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
eeg_openmeeg,EEG OpenMEEG,1842,64,64,5526,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.057573778894990116,24123.020792690848,44564.258089097246,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/157e6588.npz
eeg_openmeeg,EEG OpenMEEG,4347,64,64,13041,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05668891489228295,24333.91855208073,48749.046148183916,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/e3bc29c1.npz
eeg_openmeeg,EEG OpenMEEG,7347,64,64,22041,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05692754136025041,24134.731542362897,50963.12947136737,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/77969a7f.npz
eeg_openmeeg,EEG OpenMEEG,14355,64,64,43065,64,100.0,5e-06,6.542179988352507e-08,76.42712381655417,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05663209037897196,24281.067163792668,54208.73846983127,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/73bbc62f.npz
eeg_openmeeg,EEG OpenMEEG,18,128,128,54,54,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06313446306347247,17606.222991936684,17938.225530947795,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/7e639fce.npz
eeg_openmeeg,EEG OpenMEEG,43,128,128,129,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06056757544167938,24478.4930534338,27064.238997395216,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/302b44ca.npz
eeg_openmeeg,EEG OpenMEEG,148,128,128,444,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.055798452759831904,30113.05279793724,39966.97402172115,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/7fa247a8.npz
eeg_openmeeg,EEG OpenMEEG,302,128,128,906,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05852776561678041,28267.52605284241,43000.662273046444,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/8c6d47f4.npz
eeg_openmeeg,EEG OpenMEEG,984,128,128,2952,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.057126393053883735,28852.333900236954,52899.96632862555,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/82cc1ff9.npz
eeg_openmeeg,EEG OpenMEEG,1842,128,128,5526,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05754054486571933,28347.807240326612,57338.21288917611,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/de27327d.npz
