area_cm2,equivalent_flat_radius_mm,cap_half_angle_deg,resistance_ohm
0.25,2.8209479177387817,1.7568993727322175,753.4171895198745
0.2746352854968896,2.956672563348329,1.8414364177141533,726.150695884346
0.30169816015983214,3.0989273470401857,1.9300418814473694,700.0747130040407
0.3314278413975273,3.2480264542239548,2.022911671343223,675.1308366162459
0.3640871193753109,3.4042991867539993,2.1202511452281696,651.2628425510912
0.3999646799015145,3.568090690228982,2.2222755697746335,628.416963983761
0.43937765621369795,3.739762716284055,2.329210601556057,606.5417491838695
0.4826744322208125,3.919694421559322,2.4412927919005756,585.5878248109774
0.5302377219800477,4.108283205109179,2.5587701167880734,565.5078553448982
0.582487952628843,4.305945586102038,2.681902533108362,546.2564833352923
0.6398869806748839,4.513118123748943,2.8109625626827857,527.7903332604186
0.7029421744935576,4.73025838149282,2.9462359055345257,510.06772784347675
0.7722108991193702,4.95784593758791,3.088022083991972,493.04883941626133
0.848305442973832,5.196383444301341,3.2366351193084326,476.6955346100976
0.931898430078735,5.4463977380761985,3.3924042425965224,460.9713201248762
1.0237287655951062,5.708441003108035,3.5556746419950978,445.84134372042473
1.1246081672423613,5.983091990904682,3.72680824812227,431.2723037046555
1.2354283403309585,6.270957298522904,3.9061845600110194,417.23245509319787
1.3571688598309648,6.572672708305042,4.094201513887744,403.69154648033356
1.4909058291486605,6.888904592074565,4.291276397327556,390.62079845662294
1.637821392148877,7.220351382891879,4.497846811516815,377.9928841436901
1.7992141825028798,7.567745117620926,4.714371684568483,365.78188905912424
1.9765108027269245,7.931853053713489,4.941332339073697,353.9632914001585
2.1712784343783813,8.31347936378206,5.179233617340027,342.51393529864896
2.3852386908749845,8.713466911703918,5.428605068061643,331.4119922801067
2.6202828353867145,9.132699114179147,5.690002198497703,320.63694333185356
2.878488498316117,9.572101891854023,5.964007796605186,310.16953914342713
3.1621380421382392,10.032645714319118,6.251233327987981,299.9917720473882
3.4737387359328435,10.515347743498587,6.552320412990944,290.0868359190823
3.8160449179380835,11.021274080164707,6.867942389795705,280.43908833775964
4.192082342027518,11.55154211853923,7.198805969969371,271.03401310308016
4.605174923316788,12.107323014182011,7.545652993594313,261.8581735034681
5.058974119312891,12.689844270617467,7.909262291871581,252.89917061900223
5.557491206315486,13.300392450411755,8.290451665965533,244.14559320597203
6.105132736371627,13.940316016688387,8.690079991850519,235.58697111906758
6.706739488199311,14.611028311358025,9.109049462059703,227.21372402149697
7.367629256379525,15.314010676640308,9.548307976541016,219.01710882114998
8.093643857044109,16.05081572677179,10.008851696321175,210.98916783753683
8.891200765557821,16.823070777126105,10.49172777540568,203.12267259522233
9.767349842636538,17.63248143831974,10.99803728833086,195.4110692581026
10.729835650321943,18.48083538324163,11.528938373086259,187.84842046197778
11.787165908643484,19.370006295326196,12.08564961179453,180.42934711165339
12.948686698078028,20.301958006790333,12.669453674636534,173.14896802486834
14.224665072545744,21.278748835973836,13.281701256124926,166.00283761325278
15.62637981318492,22.3025361333629,13.923815337051316,158.98688130783984
17.16622112510749,23.37558104633711,14.597295810380356,152.0973279435494
18.85780015838653,24.500253513163262,15.303724515177022,145.33063866776843
20.7160693213671,25.6790374972659,16.04477072950581,138.68343112527958
22.75745444978804,26.91453647333506,16.822197181339913,132.15239837708393
25.0,28.209479177387816,17.637866646128696,125.73422057923608
