area_cm2,equivalent_flat_radius_mm,cap_half_angle_deg,resistance_ohm
1e-06,0.005641895835477563,0.0035136611242295997,289933.45648994576
1.153898378585781e-06,0.0060605054372989435,0.0037743628604840138,270023.0668253794
1.3314814681028946e-06,0.00651017445670743,0.0040544078036694195,251397.66828131402
1.5363943071609456e-06,0.006993207397509561,0.004355231175434294,234106.77450165182
1.7728428999014396e-06,0.007512079749905273,0.004678374598016454,217980.47702996002
2.0456805476835895e-06,0.00806945067710038,0.005025494227555717,202960.73319062754
2.360507467076567e-06,0.008668176643222784,0.00539836890881505,188981.91434505436
2.7237857388992794e-06,0.009311326052384062,0.005798909611508649,175957.09722179666
3.1429719477309524e-06,0.01000219497390991,0.006229169094579086,163830.769160256
3.62667023442734e-06,0.010744324034329514,0.006691352410759222,152543.05398192783
4.184808903171023e-06,0.011541516562693492,0.007187828149916098,142025.74194844428
4.828844208060384e-06,0.012397858082213064,0.007721140670869457,132238.1251133117
5.5719955021242176e-06,0.013317737248112959,0.008294023236121457,123125.28711392365
6.429516575388413e-06,0.01430586833900229,0.008909411707945323,114638.97104500832
7.419008751431094e-06,0.015367315417029024,0.009570459965669378,106737.7334251993
8.56078216899006e-06,0.016507518280636405,0.010280555763277225,99381.84070529474
9.878272664223696e-06,0.017732320342926065,0.011043338240398656,92533.6288070863
1.1398522810475967e-05,0.01904799857850149,0.011862716618252755,86158.02772796268
1.3152736989281259e-05,0.020461295692266047,0.012742890091526078,80222.32558368331
1.5176921885896873e-05,0.02197945467503713,0.013688369478528908,74695.9908031542
1.7512625556059458e-05,0.02361025592307002,0.014704000233708707,69551.18393390228
2.020779023391692e-05,0.025362057111725008,0.01579498736677442,64761.75771128291
2.3317736385718317e-05,0.02724383602762583,0.016966922045101897,60302.67642114278
2.6906298207771095e-05,0.029265236578819503,0.018225810322940062,56151.57896014812
3.104713387569257e-05,0.03143661821873436,0.0195781038610488,52287.085822057845
3.582523743889734e-05,0.03376910903722911,0.021030733000273985,48689.36532963105
4.133868339319426e-05,0.03627466279081781,0.02259114233667102,45340.04103750487
4.7700639740277816e-05,0.03896612016434512,0.02426732876853862,42221.96493576427
5.5041690853811045e-05,0.04185727457807065,0.026067882566256036,39319.2202336824
6.35125178308325e-05,0.04496294287741659,0.02800203137702939,36616.896832001505
7.328699134489814e-05,0.04829904126765559,0.030079687508413475,34101.18585430032
8.456574048430815e-05,0.051882666882696105,0.03231149871501305,31759.18007685208
9.758027082874911e-05,0.055732185405995525,0.03470890277638133,29578.891515149597
0.000112597716291255,0.05986732519264923,0.03728418614007714,27549.16221780483
0.00012992632226094093,0.06430927837502036,0.040050546840182596,25659.590367610865
0.00014992177259251342,0.06908080947006565,0.04302216218115889,23900.500010428805
0.00017299449030920742,0.07420637204495763,0.046214261370577735,22262.878463967743
0.0001996180618720683,0.07971223403890206,0.04964320357567532,20738.33869756854
0.00023033895793061573,0.0856266123834099,0.05332656174469114,19319.069337176817
0.0002657877500812759,0.09197981761093939,0.05728321270864678,17997.799989193318
0.0003066920538667471,0.09880440919300985,0.06153343387103783,16767.76498628377
0.0003538914636819829,0.10613536240387889,0.06609900717419735,15622.660944419376
0.0004083547861379889,0.11401024756494016,0.07100333070377733,14556.622731681053
0.0004711999256123688,0.12246942258845012,0.07627153860559258,13564.18997606868
0.0005437168301538531,0.13155623980734796,0.0819306299127546,12640.278644249369
0.0006273939687243323,0.1413172681511495,0.08800960688303497,11780.155962845773
0.0007239488832455052,0.15180253180654107,0.09453962367865801,10979.41639450674
0.0008353634425559754,0.16306576658578345,0.10155414599404425,10233.958009631573
0.0009639245218951763,0.1751646953167842,0.10908912257895023,9539.962837310582
0.0011122709428939182,0.18816132366618296,0.11718316948525778,8893.876207537289
0.0012834476375533715,0.20212225791150978,0.12587776796650552,8292.388958331769
0.0014809681479725867,0.217119046290963,0.1352174770801275,7732.420521793189
0.0017088867446827549,0.2332285456801882,0.14525016204047017,7211.103118401127
0.0019718816438761646,0.2505333154752334,0.15602723955930198,6725.766991050432
0.0022753510316317733,0.26912204070028906,0.167603941345739,6273.926711487943
0.0026255238661133874,0.2890899865085919,0.1800395971838882,5853.268594027331
0.003029587732046509,0.3105394864057602,0.19339793902160587,5461.6386416024425
0.003495836371791841,0.3335804666976495,0.2077474276046851,5097.0316581108655
0.004033839921211809,0.358331009850468,0.22316160337628257,4757.580891696962
0.004654641344560902,0.3849179596503061,0.23971946339672853,4441.548508841101
0.005370983100387165,0.41347757126346063,0.25750586625250355,4147.316650725072
0.006197568690948381,0.44415620952903534,0.276611967007129,3873.379163572762
0.0071513644636593465,0.47711109906249427,0.29713568444134203,3618.333866892951
0.008251947859292494,0.5125111300143605,0.31918220297704414,3380.875368522629
0.009521909255012015,0.5505377236134921,0.3428645118575491,3159.788369637268
0.010987315650399319,0.5913857619307376,0.3683039843539509,2953.9414258150186
0.012678245714005951,0.6352645866279157,0.3956309999836051,2762.2811485764664
0.014629407172703597,0.6823990718105948,0.4249856129183125,2583.8267988908224
0.016880849216253876,0.7330307764829185,0.4565182700373223,2417.665250386224
0.019478784539786402,0.7874191825106873,0.4903905823138312,2262.9463031379196
0.02247653789728131,0.8458430244371158,0.5267761534921936,2118.8783151893576
0.025935640635894763,0.9086017179664234,0.5658614703399701,1984.7241348475732
0.029927093677342465,0.9760168944360811,0.607846859057428,1859.7973089763761
0.034532824870070325,1.0484340491417121,0.6529475127723949,1743.4585509998944
0.03984737062556088,1.1262243119621247,0.7013945954287234,1635.1124485469488
0.04597981635574139,1.2097863493587468,0.7534364277795507,1534.2043942395076
0.053056035540561965,1.2995484074969825,0.8093397616136465,1440.2177243330939
0.061221273384444025,1.3959705069602693,0.8693911488277026,1352.6710496983262
0.0706431280932668,1.499546800304502,0.9338984124512839,1271.115766795215
0.0815149909650482,1.6108081045350255,1.0031922272754767,1195.1337351844204
0.09406001590500372,1.730324621484861,1.0776278183319126,1124.3351107685305
0.10853569984253657,1.8587088600358015,1.1575867860992457,1058.35632399807
0.12523916806697621,1.9966187751584386,1.2434790680125805,996.8581939312935
0.144513272967916,2.144761139858339,1.3357450465987455,939.5241694429906
0.16675363136180266,2.3038951673092503,1.434857815374561,886.0586905435359
0.19241674485167515,2.4748364017363293,1.5413256145419463,836.185663286081
0.2220293698971019,2.658460897989761,1.6556944494739132,789.6470431183104
0.2561993299226885,2.8557097112286187,1.7785509060553442,746.2015224346092
0.29562799139255386,3.067593719724085,1.9105251780980324,705.6233190494924
0.3411246599324392,3.295198805498373,2.052294323331169,667.7010632202521
0.39362319199166834,3.5396914193495506,2.204585765874904,632.2367814692188
0.4542011630129457,3.8023245587823786,2.368181064660891,599.0449758789517
0.5241019855524142,4.084444189481449,2.5439199689912733,567.9517975684383
0.6047604313425191,4.387496143235882,2.732704784351274,538.7943126566922
0.6978320811589704,4.7130335276667585,2.93550507374058,511.4198581296403
0.8052273069744772,5.0627246857312524,3.1533627222049914,485.6854836254476
0.9291504839108443,5.438361745795096,3.3873973949767637,461.457473346778
1.072145236846917,5.841869806091501,3.6388124227228893,438.6109401823659
1.237146650406126,6.275316800635899,3.9089011509244362,417.0294819660417
1.4275415139764618,6.740924097158222,4.199053794450286,396.60488784206564
1.6472378383413304,7.241077881365883,4.510764843039374,377.2368812755359
1.9007450708072082,7.778341385880691,4.845641068802824,358.83288558817213
2.1932666553093534,8.355468026521457,5.205410193136321,341.30779818417034
2.530806837367722,8.975415513254408,5.591930277803727,324.5837608891412
2.920293906152423,9.641361008128444,6.007199913632494,308.5899159360927
3.3697224033032183,10.356717407877927,6.4533692905550915,293.2621398433588
3.888317217455765,11.125150834639584,6.932752245000809,278.5427503887421
4.486722932649393,11.950599424421487,7.447839395348291,264.3801847281568
5.177222317147775,12.837293509612879,8.001312493876659,250.72864910091192
5.973988437334938,13.789777298968124,8.59606014513181,237.54774227430426
6.8933755715309895,14.812932166172073,9.235195066787162,224.80205578854924
7.954254894972441,15.91200166633833,9.922073101120926,212.46075416441383
9.178401826166711,17.092618408647116,10.660314224673847,200.4971376112123
10.590942985222542,18.360832922842047,11.453825852468302,188.88818854282016
12.220871938342743,19.723144667523382,12.306828793913388,177.6141014892917
14.101644314558163,21.186535339151867,13.22388629352739,166.65779384758054
16.271864509962096,22.75850465246805,14.20993668526724,156.00439232919737
18.77607807461278,24.447108775697718,15.270330310378267,145.6406868012985
21.66568604649572,26.261001617519838,16.410871503036304,135.55453919157912
25.0,28.209479177387816,17.637866646128696,125.73422971798064
