modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_correlation_length_mm,noise_correlation_kernel,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
meg_squid,MEG SQUID,360,200,600,1080,600,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7364423794666133e-15,9345.054694837945,20404.713773134674,,15.0,,,,,,,,results/variants/meg_squid/d47c6a71.npz
meg_squid,MEG SQUID,1153,200,600,3459,600,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7480139603034577e-15,9318.732598100534,26722.806978960052,,10.0,,,,,,,,results/variants/meg_squid/1383ca64.npz
meg_squid,MEG SQUID,1153,200,600,3459,600,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.7480139603034567e-15,9320.45573279875,26725.12239141778,,10.0,,,,,,,,results/variants/meg_squid/474e5783.npz
meg_squid,MEG SQUID,8937,200,600,26811,600,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.6795217560938756e-15,9393.310902983814,41635.32911484609,,5.0,,,,,,,,results/variants/meg_squid/4e897033.npz
meg_squid,MEG SQUID,8937,200,600,26811,600,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.6795217560938738e-15,9395.042835556318,41637.63484323759,,5.0,,,,,,,,results/variants/meg_squid/b8319ac4.npz
meg_squid,MEG SQUID,50,500,1500,150,150,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.7916036601167075e-15,10314.774665834144,13629.338367424543,,30.0,,,,,,,,results/variants/meg_squid/03af255d.npz
meg_squid,MEG SQUID,50,500,1500,150,150,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.7916036601167075e-15,10610.333900174792,13938.559993655832,,30,,,,,,,,results/variants/meg_squid/8053d053.npz
meg_squid,MEG SQUID,153,500,1500,459,459,100.0,1e-13,5e-14,2.0,spatial_covariance,5.0,gaussian,1.922639947747127e-15,11742.521583952153,19557.275697642883,,20.0,,,,,,,,results/variants/meg_squid/01b112dc.npz
meg_squid,MEG SQUID,153,500,1500,459,459,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.922639947747126e-15,12102.466353675454,19978.944201536502,,20.0,,,,,,,,results/variants/meg_squid/8a4ed53f.npz
meg_squid,MEG SQUID,360,500,1500,1080,1080,100.0,1e-13,5e-14,2.0,scalar_iid,,,1.7365393775231629e-15,12798.424659992696,25253.952297703334,,15,,,,,,,,results/variants/meg_squid/2386f054.npz
