modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_correlation_length_mm,noise_correlation_kernel,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
eeg_openmeeg,EEG OpenMEEG,18,128,128,54,54,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.0630908126659385,18627.94891714659,18995.63471384687,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/cd81ea77.npz
eeg_openmeeg,EEG OpenMEEG,43,128,128,129,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.06014973174960828,24976.40203378392,27628.7362021632,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/62619732.npz
eeg_openmeeg,EEG OpenMEEG,148,128,128,444,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.05548647506909255,29981.458156198205,39638.15803440046,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/6ad5ce4f.npz
eeg_openmeeg,EEG OpenMEEG,302,128,128,906,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.058378999372344406,28240.525027435906,42561.33859195561,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/7cac8504.npz
eeg_openmeeg,EEG OpenMEEG,984,128,128,2952,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.0569127851577215,28760.74889489414,52065.5043083832,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/651070c8.npz
eeg_openmeeg,EEG OpenMEEG,1842,128,128,5526,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.05739362731856872,28298.44990311666,56362.704956079244,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/962f2ce7.npz
eeg_openmeeg,EEG OpenMEEG,4347,128,128,13041,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.05674204451061529,28606.83652116695,63980.31277877949,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/1f8334b0.npz
eeg_openmeeg,EEG OpenMEEG,7347,128,128,22041,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.056988996451923665,28267.654646957326,67904.97859288212,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/25af4e24.npz
eeg_openmeeg,EEG OpenMEEG,14355,128,128,43065,128,100.0,5e-06,7.780006989777219e-08,64.26729444549221,spatial_covariance,5.0,gaussian,0.05649724864448417,28507.284715676047,74186.60700975139,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/1f3bf030.npz
eeg_openmeeg,EEG OpenMEEG,18,256,256,54,54,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,5.0,gaussian,0.06301768862848417,19688.763755592026,20005.211753629756,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/d529b4ac.npz
eeg_openmeeg,EEG OpenMEEG,43,256,256,129,129,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,5.0,gaussian,0.06003405741198841,26798.433357939215,29349.584974086632,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/15da4e5e.npz
eeg_openmeeg,EEG OpenMEEG,148,256,256,444,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,5.0,gaussian,0.05545811551899951,32714.907009833125,42473.82729391069,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/77cc1225.npz
eeg_openmeeg,EEG OpenMEEG,302,256,256,906,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,5.0,gaussian,0.0583593651811875,30861.043192705092,45724.342638253496,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/70911595.npz
eeg_openmeeg,EEG OpenMEEG,984,256,256,2952,256,100.0,5e-06,9.252039667013972e-08,54.04213751726936,spatial_covariance,5.0,gaussian,0.056900856429303814,31429.54878881448,56323.286036149104,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_correlated_noise_20260601_margin5mm/759a9bc9.npz
